N п/п из Перечня,Группа продукции,Структурный элемент или объект,Пункт/статья в ТР ТС,Пункт/раздел стандарта,Обозначение и наименование стандарта
213,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: метилацетат,пункт 3 статьи 4 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
214,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: метилацетат,пункт 3 статьи 4 ,,"МУК 4.1.3171-14 ""Газохроматографическое определение ацетальдегида, ацетона, метилацетата, метанола, этанола, метилакрилата, метилметакрилата, этилакрилата, изобутилакрилата, бутилакрилата, бутилметакрилата, толуола, стирола, -метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0160.19.03.13 от 19.03.2013, номер в реестре ФР.1.31.2013.16751)"
215,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: -метилстирол,пункт 3 статьи 4 ,,"ГОСТ 15820-82 ""Полистирол и сополимеры стирола. Газохроматографический метод определения остаточных мономеров и неполимеризующихся примесей"""
216,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: -метилстирол,пункт 3 статьи 4 ,,"МУ 4628-88 ""Методические указания по газохроматографическому определению остаточных мономеров и неполимеризующихся примесей, выделяющихся из полистирольных пластиков в воде, модельных средах и пищевых продуктах"""
217,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: -метилстирол,пункт 3 статьи 4 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
218,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: -метилстирол,пункт 3 статьи 4 ,,"МУК 4.1.3171-14 ""Газохроматографическое определение ацетальдегида, ацетона, метилацетата, метанола, этанола, метилакрилата, метилметакрилата, этилакрилата, изобутилакрилата, бутилакрилата, бутилметакрилата, толуола, стирола, -метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0160.19.03.13 от 19.03.2013, номер в реестре ФР.1.31.2013.16751)"
219,Посуда и столовые приборы из пластмассы,"выделение вредных для здоровья химических веществ: спирт бутиловый, спирт изобутиловый",пункт 3 статьи 4 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
220,Посуда и столовые приборы из пластмассы,"выделение вредных для здоровья химических веществ: спирт бутиловый, спирт изобутиловый",пункт 3 статьи 4 ,,"МУК 4.1.654-96 ""Методические указания по газохроматографическому определению бутаналя, бутанола, изизобутанола, 2-этилгексаналя, 2-этилгексеналя и 2-этилгексанола в воде"""
221,Посуда и столовые приборы из пластмассы,"выделение вредных для здоровья химических веществ: спирт бутиловый, спирт изобутиловый",пункт 3 статьи 4 ,,"Инструкция 4.1.10-15-90-2005 ""Осуществление государственного санитарного надзора за производством и применением полимерных материалов класса полиолефинов, предназначенных для контакта с пищевыми продуктами"""
222,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: спирт метиловый,пункт 3 статьи 4 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
223,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: спирт метиловый,пункт 3 статьи 4 ,,"Инструкция 4.1.10-15-90-2005 ""Осуществление государственного надзора за производством и применением полимерных материалов класса полиолефинов, предназначенных для контакта с пищевыми продуктами"""
224,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: спирт метиловый,пункт 3 статьи 4 ,,"Инструкция 2.3.3.10-15-64-2005 ""Санитарно-химические исследования изделий, изготовленных из полимерных и других синтетических материалов, контактирующих с пищевыми продуктами"""
225,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: спирт метиловый,пункт 3 статьи 4 ,,"МУК 4.1.650-96 ""Методические указания по газохроматографическому определению ацетона, метанола, бензола, толуола, этилбензола, пентана, о-, м-, п-ксилола, гексана, октана и декана в воде"""
226,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: спирт метиловый,пункт 3 статьи 4 ,,"МУК 4.1.3171-14 ""Газохроматографическое определение ацетальдегида, ацетона, метилацетата, метанола, этанола, метилакрилата, метилметакрилата, этилакрилата, изобутилакрилата, бутилакрилата, бутилметакрилата, толуола, стирола, -метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0160.19.03.13 от 19.03.2013, номер в реестре ФР.1.31.2013.16751)"
227,Посуда и столовые приборы из пластмассы,"выделение вредных для здоровья химических веществ: спирт пропиловый, спирт изопропиловый, этилацетат",пункт 3 статьи 4 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
228,Посуда и столовые приборы из пластмассы,"выделение вредных для здоровья химических веществ: спирт пропиловый, спирт изопропиловый, этилацетат",пункт 3 статьи 4 ,,"МУ 4149-86 ""Методические указания по осуществлению государственного надзора за производством и применением полимерных материалов класса полиолефинов, предназначенных для контакта с пищевыми продуктами"""
229,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: стирол,пункт 3 статьи 4 ,,"ГОСТ 15820-82 ""Полистирол и сополимеры стирола. Газохроматографический метод определения остаточных мономеров и неполимеризующихся примесей"""
230,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: стирол,пункт 3 статьи 4 ,,"ГОСТ 22648-77 ""Пластмассы. Методы определения гигиенических показателей"""
231,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: стирол,пункт 3 статьи 4 ,,"МУК 4.1.739-99 ""Хромато-масс-спектрометрическое определение бензола, толуола, хлорбензола, этилбензола, о-ксилола, стирола в воде"""
232,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: стирол,пункт 3 статьи 4 ,,"МУК 4.1.649-96 ""Методические указания по хромато-масс-спектрометрическому определению летучих органических веществ в воде"""
233,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: стирол,пункт 3 статьи 4 ,,"МУК 4.1.1205-03 ""Газохроматографическое определение бензола, трихлорэтилена, толуола, тетрахлорэтилена, хлорбензола, этилбензола, м-, п-ксилолов, о-ксилола, стирола, изопропилбензола, ортохлортолуола и нафталина в воде"""
234,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: стирол,пункт 3 статьи 4 ,,"Инструкция 4.1.10-14-101-2005 ""Методы исследования полимерных материалов для гигиенической оценки"""
235,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: стирол,пункт 3 статьи 4 ,,"МВИ. МН 1401-2000 ""Методика выполнения измерений концентраций стирола в водной и водно-спиртовых средах, имитирующих алкогольные напитки, методом газовой хроматографии"""
236,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: стирол,пункт 3 статьи 4 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
237,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: стирол,пункт 3 статьи 4 ,,"МУК 4.1.3171-14 ""Газохроматографическое определение ацетальдегида, ацетона, метилацетата, метанола, этанола, метилакрилата, метилметакрилата, этилакрилата, изобутилакрилата, бутилакрилата, бутилметакрилата, толуола, стирола, -метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0160.19.03.13 от 19.03.2013, номер в реестре ФР.1.31.2013.16751)"
238,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: толуол,пункт 3 статьи 4 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
239,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: толуол,пункт 3 статьи 4 ,,"МУК 4.1.650-96 ""Методические указания по газохроматографическому определению ацетона, метанола, бензола, толуола, этилбензола, пентана, о-, м-, п-ксилола, гексана, октана и декана в воде"""
240,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: толуол,пункт 3 статьи 4 ,,"МУК 4.1.739-99 ""Хромато-масс-спектрометрическое определение бензола, толуола, хлорбензола, этилбензола, о-ксилола, стирола в воде"""
241,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: толуол,пункт 3 статьи 4 ,,"МУК 4.1.1205-03 ""Газохроматографическое определение бензола, трихлорэтилена, толуола, тетрахлорэтилена, хлорбензола, этилбензола, м-, п-ксилолов, о-ксилола, стирола, изопропилбензола, ортохлортолуола и нафталина в воде"""
242,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: толуол,пункт 3 статьи 4 ,,"МУК 4.1.649-96 ""Методические указания по хромато-масс-спектрометрическому определению летучих органических веществ в воде"""
243,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: толуол,пункт 3 статьи 4 ,,"МУК 4.1.651-96 ""Методические указания по газохроматографическому определению толуола в воде"""
244,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: толуол,пункт 3 статьи 4 ,,"Инструкция 4.1.10-14-91-2005 ""Газохроматографический метод определения остаточных мономеров и неполимеризующихся примесей, выделяющихся из полистирольных пластиков в воде, модельных средах и пищевых продуктах"""
245,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: толуол,пункт 3 статьи 4 ,,"Инструкция 4.1.11-11-13-2004 ""Методика выполнения измерений концентраций бензола, толуола, хлорбензола, этилбензола, о-ксилола, стирола в воде методом хромато-масс-спектрометрии"""
246,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: толуол,пункт 3 статьи 4 ,,"МУК 4.1.3171-14 ""Газохроматографическое определение ацетальдегида, ацетона, метилацетата, метанола, этанола, метилакрилата, метилметакрилата, этилакрилата, изобутилакрилата, бутилакрилата, бутилметакрилата, толуола, стирола, -метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0160.19.03.13 от 19.03.2013, номер в реестре ФР.1.31.2013.16751)"
247,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: хлорбензол,пункт 3 статьи 4 ,,"МУК 4.1.739-99 ""Хромато-масс-спектрометрическое определение бензола, толуола, хлорбензола, этилбензола, о-ксилола, стирола в воде"""
248,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: хлорбензол,пункт 3 статьи 4 ,,"МУК 4.1.1205-03 ""Газохроматографическое определение бензола, трихлорэтилена, толуола, тетрахлорэтилена, хлорбензола, этилбензола, м-, п-ксилолов, о-ксилола, стирола, изопропилбензола, ортохлортолуола и нафталина в воде"""
249,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: хлорбензол,пункт 3 статьи 4 ,,"Инструкция 4.1.11-11-13-2004 ""Методика выполнения измерений концентраций бензола, толуола, хлорбензола, этилбензола, о-ксилола, стирола в воде методом хромато-масс-спектрометрии"""
250,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: хлорбензол,пункт 3 статьи 4 ,,"МВИ.МН 6309-2020 ""Массовая концентрация хлорбензола, выделяемого из изделий из поликарбоната, в водных и воздушных средах. Методика выполнения измерений методом газовой хроматографии"" (свидетельство об аттестации N BY 00120 от 29.10.2020)"
251,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: этилбензол,пункт 3 статьи 4 ,,"ГОСТ 15820-82 ""Полистирол и сополимеры стирола. Газохроматографический метод определения остаточных мономеров и неполимеризующихся примесей"""
252,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: этилбензол,пункт 3 статьи 4 ,,"ГОСТ 22648-77 ""Пластмассы. Методы определения гигиенических показателей"""
253,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: этилбензол,пункт 3 статьи 4 ,,"МУК 4.1.649-96 ""Методические указания по хромато-масс-спектрометрическому определению летучих органических веществ в воде"""
254,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: этилбензол,пункт 3 статьи 4 ,,"МУК 4.1.650-96 ""Методические указания по газохроматографическому определению ацетона, метанола, бензола, толуола, этилбензола, пентана, о-, м-, п-ксилола, гексана, октана и декана в воде"""
255,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: этилбензол,пункт 3 статьи 4 ,,"МУК 4.1.652-96 ""Методические указания по газохроматографическому определению этилбензола в воде"""
256,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: этилбензол,пункт 3 статьи 4 ,,"МУК 4.1.739-99 ""Хромато-масс-спектрометрическое определение бензола, толуола, хлорбензола, этилбензола, о-ксилола, стирола в воде"""
257,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: этилбензол,пункт 3 статьи 4 ,,"МУК 4.1.1205-03 ""Газохроматографическое определение бензола, трихлорэтилена, толуола, тетрахлорэтилена, хлорбензола, этилбензола, м-, п-ксилолов, о-ксилола, стирола, изопропилбензола, ортохлортолуола и нафталина в воде"""
258,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: этилбензол,пункт 3 статьи 4 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
259,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: этилбензол,пункт 3 статьи 4 ,,"Инструкция 4.1.11-11-13-2004 ""Методика выполнения измерений концентраций бензола, толуола, хлорбензола, этилбензола, о-ксилола, стирола в воде методом хромато-масс-спектрометрии"""
260,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: этиленгликоль,пункт 3 статьи 4 ,,"Инструкция N 880-71 ""Инструкция по санитарно-химическому исследованию изделий, изготовленных из полимерных и других синтетических материалов, предназначенных для контакта с пищевыми продуктами"""
261,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: этиленгликоль,пункт 3 статьи 4 ,,"Инструкция 2.3.3.10-15-64-2005 ""Санитарно-химические исследования изделий, изготовленных из полимерных и других синтетических материалов, контактирующих с пищевыми продуктами"""
262,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: эпихлоргидрин,пункт 3 статьи 4 ,,"Инструкция N 4259-87 ""Инструкция по санитарно-химическому исследованию изделий, изготовленных из полимерных и других синтетических материалов, предназначенных для использования в хозяйственно-питьевом водоснабжении и водном хозяйстве"""
263,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: эпихлоргидрин,пункт 3 статьи 4 ,,"Инструкция 2.3.3.10-15-64-2005 ""Санитарно-химические исследования изделий, изготовленных из полимерных и других синтетических материалов, контактирующих с пищевыми продуктами"""
264,Посуда и столовые приборы из пластмассы,выделение вредных для здоровья химических веществ: эпихлоргидрин,пункт 3 статьи 4 ,,"МВИ. МН 1924-2003 ""Методика газохроматографического определения фенола и эпихлоргидрина в модельных средах, имитирующих пищевые продукты"""
265,Посуда и столовые приборы из пластмассы,"сохранение внешнего вида и окраски, отсутствие деформации и трещин при воздействии воды при температуре от 65 до 75 °C",пункт 3 статьи 4 ,пункт 5.5 ,"ГОСТ Р 50962-96 ""Посуда и изделия хозяйственного назначения из пластмасс. Общие технические условия"""
266,Посуда и столовые приборы из пластмассы,"сохранение внешнего вида и окраски, отсутствие деформации и трещин при воздействии воды при температуре от 65 до 75 °C",пункт 3 статьи 4 ,пункт 6.5 ,"ГОСТ 34827-2022 ""Посуда и изделия хозяйственного назначения из пластмасс. Общие технические условия"""
266,Посуда и столовые приборы из пластмассы,"сохранение внешнего вида и окраски, отсутствие деформации и трещин при воздействии воды при температуре от 65 до 75 °C",пункт 3 статьи 4 ,пункт 5.5 СТ РК ,"ГОСТ Р 50962-2008 ""Посуда и изделия хозяйственного назначения из пластмасс. Общие технические условия"""
267,Посуда и столовые приборы из пластмассы,"отсутствие деформации, трещин, сколов, разрушений после 5-кратного падения",пункт 3 статьи 4 ,пункт 5.27 ,"ГОСТ Р 50962-96 ""Посуда и изделия хозяйственного назначения из пластмасс. Общие технические условия"""
268,Посуда и столовые приборы из пластмассы,"отсутствие деформации, трещин, сколов, разрушений после 5-кратного падения",пункт 3 статьи 4 ,пункт 5.27 СТ РК ,"ГОСТ Р 50962-2008 ""Посуда и изделия хозяйственного назначения из пластмасс. Общие технические условия"""
269,Посуда и столовые приборы из пластмассы,"отсутствие острых (режущих, колющих) кромок, краев, выступающего литника над опорной поверхностью",пункт 3 статьи 4 ,пункт 5.2 ,"ГОСТ Р 50962-96 ""Посуда и изделия хозяйственного назначения из пластмасс. Общие технические условия"""
270,Посуда и столовые приборы из пластмассы,"отсутствие острых (режущих, колющих) кромок, краев, выступающего литника над опорной поверхностью",пункт 3 статьи 4 ,пункт 5.2 СТ РК ,"ГОСТ Р 50962-2008 ""Посуда и изделия хозяйственного назначения из пластмасс. Общие технические условия"""
271,Посуда и столовые приборы из пластмассы,"отсутствие острых (режущих, колющих) кромок, краев, выступающего литника над опорной поверхностью",пункт 3 статьи 4 ,пункт 6.2 ,"ГОСТ 34827-2022 ""Посуда и изделия хозяйственного назначения из пластмасс. Общие технические условия"""
272,Посуда и столовые приборы из пластмассы,герметичность,пункт 3 статьи 4 ,пункт 5.26 ,"ГОСТ Р 50962-96 ""Посуда и изделия хозяйственного назначения из пластмасс. Общие технические условия"""
273,Посуда и столовые приборы из пластмассы,герметичность,пункт 3 статьи 4 ,пункт 5.26 СТ РК ,"ГОСТ Р 50962-2008 ""Посуда и изделия хозяйственного назначения из пластмасс. Общие технические условия"""
274,"Посуда и столовые приборы из стекла, стеклокерамики, керамики",отбор проб,пункт 4 статьи 4 ,"пункты 7.3, 7.4, 7.6 ","ГОСТ 30407-96 (ИСО 7086-1-82, ИСО 7086-2-82) ""Посуда и декоративные изделия из стекла. Общие технические условия"""
275,"Посуда и столовые приборы из стекла, стеклокерамики, керамики",отбор проб,пункт 4 статьи 4 ,,"ГОСТ 18321-73 ""Статистический контроль качества. Методы случайного отбора выборок штучной продукции"""
276,"Посуда и столовые приборы из стекла, стеклокерамики, керамики",отбор проб,пункт 4 статьи 4 ,раздел 6 ,"ГОСТ 30407-2019 ""Посуда стеклянная для пищи и напитков. Общие технические условия"""
277,"Посуда и столовые приборы из стекла, стеклокерамики, керамики",отбор проб,пункт 4 статьи 4 ,,"ГОСТ Р 50779.12-2021 ""Статистические методы. Статистический контроль качества. Методы случайного отбора выборок штучной продукции"""
278,"Посуда и столовые приборы из стекла, стеклокерамики, керамики",термическая устойчивость,пункт 4 статьи 4 ,пункт 8.6 ,"ГОСТ 30407-96 (ИСО 7086-1-82, ИСО 7086-2-82) ""Посуда и декоративные изделия из стекла. Общие технические условия"""
279,"Посуда и столовые приборы из стекла, стеклокерамики, керамики",термическая устойчивость,пункт 4 статьи 4 ,пункт 7.9 ,"ГОСТ 30407-2019 ""Посуда стеклянная для пищи и напитков. Общие технические условия"""
280,"Посуда и столовые приборы из стекла, стеклокерамики, керамики",термическая устойчивость,пункт 4 статьи 4 ,,"ГОСТ 32091-2013 ""Посуда керамическая. Метод определения термостойкости"""
281,"Посуда и столовые приборы из стекла, стеклокерамики, керамики",прочность крепления ручек,пункт 4 статьи 4 ,пункт 3.4 ,"ГОСТ 28391-89 ""Изделия фаянсовые. Технические условия"""
282,"Посуда и столовые приборы из стекла, стеклокерамики, керамики",прочность крепления ручек,пункт 4 статьи 4 ,пункт 8.9 ,"ГОСТ 30407-96 (ИСО 7086-1-82, ИСО 7086-2-82) ""Посуда и декоративные изделия из стекла. Общие технические условия"""
283,"Посуда и столовые приборы из стекла, стеклокерамики, керамики",прочность крепления ручек,пункт 4 статьи 4 ,пункт 7.8 ,"ГОСТ 30407-2019 ""Посуда стеклянная для пищи и напитков. Общие технические условия"""
284,"Посуда и столовые приборы из стекла, стеклокерамики, керамики",прочность крепления ручек,пункт 4 статьи 4 ,пункт 6.6 ,"ГОСТ 32092-2013 ""Посуда гончарная. Технические условия"""
285,"Посуда и столовые приборы из стекла, стеклокерамики, керамики",прочность крепления ручек,пункт 4 статьи 4 ,пункт 6.6 ,"ГОСТ 32094-2013 ""Посуда майоликовая. Технические условия"""
286,"Посуда и столовые приборы из стекла, стеклокерамики, керамики","отсутствие сколов; прорезных граней; прилипших кусочков стекла; режущих или осыпающихся частиц сквозных посечек; инородных включений, имеющих вокруг себя трещины и посечки",пункт 4 статьи 4 ,пункт 8.1 ,"ГОСТ 30407-96 (ИСО 7086-1-82, ИСО 7086-2-82) ""Посуда и декоративные изделия из стекла. Общие технические условия"""
287,"Посуда и столовые приборы из стекла, стеклокерамики, керамики","отсутствие сколов; прорезных граней; прилипших кусочков стекла; режущих или осыпающихся частиц сквозных посечек; инородных включений, имеющих вокруг себя трещины и посечки",пункт 4 статьи 4 ,Пункт 7.2 ,"ГОСТ 30407-2019 ""Посуда стеклянная для пищи и напитков. Общие технические условия"""
288,"Посуда и столовые приборы из стекла, стеклокерамики, керамики",кислотостойкость,пункт 4 статьи 4 ,пункт 8.8 ,"ГОСТ 30407-96 (ИСО 7086-1-82, ИСО 7086-2-82) ""Посуда и декоративные изделия из стекла. Общие технические условия"""
289,"Посуда и столовые приборы из стекла, стеклокерамики, керамики",кислотостойкость,пункт 4 статьи 4 ,пункт 7.14 ,"ГОСТ 30407-2019 ""Посуда стеклянная для пищи и напитков. Общие технические условия"""
290,"Посуда и столовые приборы из стекла, стеклокерамики, керамики",кислотостойкость,пункт 4 статьи 4 ,,"ГОСТ Р 53547-2009 ""Посуда керамическая. Метод определения кислотостойкости"""
